Pattern
"((19, 16), (20, 16))"
"((137, 106), (138, 106))"
"((67, 62), (66, 62))"
"((70, 59), (70, 58))"
"((137, 105), (138, 106))"
"((138, 106), (137, 106))"
"((138, 106), (137, 105))"
"((138, 105), (138, 106))"
"((66, 62), (67, 62))"
"((46, 45), (53, 49))"
"((21, 11), (21, 10))"
"((138, 106), (139, 105))"
"((49, 45), (44, 44))"
"((79, 179), (68, 191))"
"((138, 106), (138, 105))"
"((66, 63), (67, 62))"
"((137, 105), (137, 106))"
"((139, 105), (137, 105))"
"((21, 10), (22, 9))"
"((22, 9), (21, 10), (22, 9))"
"((66, 62), (67, 62))"
"((137, 105), (138, 106))"
"((139, 105), (138, 106))"
"((22, 9), (21, 10))"
"((22, 9), (21, 11))"
"((93, 102), (93, 101))"
"((137, 105), (138, 106))"
"((67, 62), (66, 62))"
"((68, 191), (68, 193))"
"((22, 9), (21, 11), (22, 9))"
"((68, 191), (79, 179), (68, 193))"
"((67, 62), (66, 62), (67, 62))"
"((22, 9), (21, 11), (21, 10))"
"((21, 11), (22, 9))"
"((68, 191), (68, 193), (68, 191))"
"((44, 44), (49, 45), (44, 44))"
"((21, 10), (21, 11), (22, 9))"
"((70, 58), (70, 59), (70, 58))"
"((138, 106), (139, 105))"
"((21, 11), (21, 10))"
"((21, 10), (21, 11), (21, 10))"
"((70, 59), (70, 58))"
"((21, 11), (22, 9))"
"((68, 193), (68, 191))"
"((68, 191), (68, 193), (79, 179))"
"((70, 59), (70, 58))"
"((46, 45), (53, 49))"
"((21, 11), (21, 10))"
"((137, 105), (138, 106), (137, 105))"
"((44, 44), (49, 45))"
"((22, 9), (21, 10), (21, 11))"
"((21, 10), (21, 11), (21, 10))"
"((21, 10), (21, 11), (22, 9))"
"((22, 9), (21, 11), (21, 10))"
"((21, 11), (22, 9))"
"((67, 62), (66, 62), (67, 62))"
"((137, 105), (138, 106), (137, 105))"
"((22, 9), (21, 11), (22, 9))"
"((22, 9), (21, 11), (22, 9))"
"((21, 11), (21, 10))"
"((68, 191), (68, 193), (79, 179))"
"((70, 58), (70, 59), (70, 58))"
"((137, 105), (138, 106))"
"((101, 89), (102, 90))"
"((80, 93), (83, 94))"
"((102, 90), (101, 89))"
"((74, 103), (72, 103))"
"((72, 104), (72, 103))"
"((76, 98), (77, 97))"
"((74, 68), (74, 67))"
"((81, 70), (82, 69))"
"((83, 94), (83, 93))"
"((99, 81), (99, 80))"
"((72, 89), (74, 67))"
"((101, 89), (102, 87))"
"((99, 80), (99, 81))"
"((99, 81), (116, 94))"
"((76, 97), (77, 97))"
"((72, 104), (74, 103))"
"((83, 94), (80, 93))"
"((71, 89), (72, 89))"
"((77, 97), (76, 97))"
"((82, 69), (81, 70))"
"((83, 93), (83, 94))"
"((73, 68), (74, 67))"
"((71, 104), (72, 103))"
"((72, 103), (74, 103))"
"((76, 98), (76, 97))"
"((72, 92), (72, 89))"
"((74, 103), (72, 104))"
"((85, 100), (84, 100))"
"((84, 100), (85, 101))"
"((72, 103), (71, 104))"
"((84, 125), (85, 124))"
"((77, 98), (76, 97))"
"((50, 109), (74, 103))"
"((74, 67), (73, 68))"
"((71, 104), (74, 103))"
"((49, 114), (49, 113))"
"((40, 89), (39, 89))"
"((84, 100), (85, 100))"
"((77, 98), (77, 97))"
"((74, 67), (74, 68))"
"((72, 103), (72, 104))"
"((77, 97), (76, 98))"
"((46, 129), (46, 128))"
"((85, 125), (84, 125))"
"((72, 92), (71, 89))"
"((71, 89), (74, 68))"
"((85, 124), (84, 125))"
"((70, 68), (70, 67))"
"((77, 97), (77, 98))"
"((85, 101), (84, 100))"
"((74, 103), (71, 104))"
"((76, 98), (77, 98))"
"((102, 90), (102, 87))"
"((80, 88), (80, 89))"
"((30, 36), (30, 35))"
"((84, 125), (85, 125))"
"((77, 98), (76, 98))"
"((70, 67), (70, 68))"
"((76, 97), (76, 98))"
"((101, 89), (102, 90))"
"((74, 103), (71, 104))"
"((83, 94), (80, 93))"
"((74, 67), (74, 68))"
"((77, 97), (76, 97), (76, 98))"
"((70, 68), (70, 67), (70, 68))"
"((76, 98), (76, 97))"
"((72, 103), (74, 103))"
"((76, 97), (76, 98))"
"((80, 93), (83, 94), (80, 93))"
"((71, 104), (74, 103))"
"((76, 97), (77, 97))"
"((76, 98), (77, 97), (76, 97))"
"((77, 97), (76, 98))"
"((85, 125), (85, 124))"
"((85, 101), (84, 100))"
"((83, 93), (83, 94))"
"((84, 125), (85, 125))"
"((76, 97), (77, 97), (76, 97))"
"((77, 97), (76, 97), (77, 98))"
"((85, 124), (85, 125))"
"((76, 97), (77, 98))"
"((76, 98), (76, 97), (76, 98))"
"((77, 97), (77, 98), (76, 98))"
"((101, 89), (102, 90), (102, 87))"
"((77, 98), (76, 97))"
"((76, 98), (77, 97))"
"((77, 97), (76, 98), (77, 98))"
"((83, 94), (83, 93), (83, 94))"
"((76, 97), (77, 97), (77, 98))"
"((76, 98), (77, 97), (76, 98))"
"((74, 103), (72, 103), (72, 104))"
"((85, 125), (85, 124))"
"((70, 67), (70, 68))"
"((81, 70), (82, 69))"
"((84, 100), (85, 101), (84, 100))"
"((77, 97), (76, 98))"
"((76, 97), (77, 97), (76, 98))"
"((76, 98), (76, 97), (77, 98))"
"((77, 98), (77, 97))"
"((85, 125), (85, 124), (84, 125))"
"((102, 90), (101, 89), (102, 87))"
"((72, 104), (74, 103))"
"((74, 103), (72, 103), (71, 104))"
"((76, 98), (77, 98), (76, 98))"
"((82, 69), (81, 70))"
"((77, 98), (76, 97), (76, 98))"
"((77, 98), (76, 97))"
"((76, 98), (77, 97), (77, 98))"
"((76, 97), (77, 98), (76, 98))"
"((85, 124), (85, 125), (84, 125))"
"((85, 125), (84, 125), (85, 125))"
"((74, 103), (72, 103))"
"((74, 68), (74, 67))"
"((77, 97), (77, 98))"
"((80, 93), (83, 94))"
"((84, 125), (85, 124))"
"((77, 98), (77, 97), (77, 98))"
"((85, 125), (85, 124), (85, 125))"
"((72, 104), (72, 103), (74, 103))"
"((74, 103), (72, 103), (74, 103))"
"((77, 97), (76, 97))"
"((72, 103), (74, 103), (72, 104))"
"((84, 125), (85, 124), (85, 125))"
"((77, 98), (77, 97), (76, 98))"
"((77, 98), (76, 97), (77, 98))"
"((72, 103), (71, 104), (74, 103))"
"((85, 125), (84, 125))"
"((81, 70), (82, 69), (81, 70))"
"((70, 68), (70, 67))"
"((77, 98), (76, 98))"
"((72, 103), (74, 103), (71, 104))"
"((76, 97), (77, 97), (76, 98))"
"((76, 97), (77, 98), (76, 98))"
"((77, 97), (76, 97), (77, 98), (76, 98))"
"((76, 98), (77, 97), (76, 97))"
"((76, 97), (77, 97), (76, 97), (77, 98))"
"((76, 97), (77, 97), (76, 97))"
"((85, 125), (85, 124), (85, 125))"
"((76, 98), (77, 97), (76, 98))"
"((76, 97), (77, 97), (77, 98))"
"((76, 98), (76, 97), (76, 98))"
"((70, 144), (85, 152))"
"((64, 163), (64, 164))"
"((62, 112), (61, 112))"
"((36, 95), (37, 95))"
"((80, 95), (80, 94))"
"((109, 190), (113, 191))"
"((46, 47), (45, 46))"
"((37, 95), (36, 95))"
"((60, 112), (62, 112))"
"((61, 112), (60, 112))"
"((36, 95), (38, 95))"
"((81, 151), (64, 165))"
"((80, 95), (81, 94))"
"((80, 94), (81, 94))"
"((38, 95), (36, 96))"
"((80, 84), (80, 83))"
"((110, 190), (113, 191))"
"((64, 165), (63, 162))"
"((45, 47), (45, 46))"
"((82, 152), (81, 151))"
"((81, 151), (63, 162))"
"((61, 112), (62, 112))"
"((46, 47), (44, 47))"
"((80, 83), (80, 84))"
"((36, 94), (36, 95))"
"((60, 112), (61, 112))"
"((35, 93), (36, 95))"
"((70, 156), (63, 162))"
"((63, 162), (63, 161))"
"((64, 164), (63, 162))"
"((63, 162), (64, 162))"
"((45, 46), (45, 47))"
"((79, 93), (80, 95))"
"((63, 162), (64, 167))"
"((46, 47), (45, 47))"
"((37, 95), (36, 96))"
"((80, 94), (80, 95))"
"((64, 164), (64, 167))"
"((78, 92), (103, 102))"
"((64, 163), (63, 162))"
"((82, 152), (70, 156))"
"((45, 46), (46, 47))"
"((76, 99), (77, 100))"
"((82, 152), (63, 162))"
"((81, 151), (82, 152))"
"((64, 162), (63, 162))"
"((44, 47), (46, 47))"
"((64, 165), (64, 164))"
"((63, 162), (64, 165))"
"((70, 156), (64, 165))"
"((64, 165), (64, 163))"
"((64, 164), (64, 165))"
"((85, 152), (70, 144))"
"((37, 95), (38, 95))"
"((63, 162), (81, 151))"
"((36, 96), (36, 95))"
"((38, 95), (37, 95))"
"((64, 165), (65, 164))"
"((80, 95), (79, 93))"
"((64, 163), (64, 165))"
"((45, 47), (46, 47))"
"((38, 95), (36, 95))"
"((63, 162), (64, 164))"
"((70, 156), (64, 164))"
"((63, 162), (64, 163))"
"((64, 162), (64, 165))"
"((81, 94), (80, 95))"
"((92, 77), (91, 77))"
"((64, 165), (64, 167))"
"((36, 95), (36, 96))"
"((62, 112), (60, 112))"
"((63, 162), (65, 164))"
"((72, 97), (73, 98))"
"((37, 95), (36, 95))"
"((80, 83), (80, 84))"
"((81, 151), (63, 162))"
"((64, 165), (64, 167))"
"((80, 83), (80, 84))"
"((64, 165), (64, 164))"
"((73, 99), (72, 100), (73, 99))"
"((82, 152), (63, 162), (64, 164))"
"((64, 165), (63, 162))"
"((80, 94), (80, 95))"
"((60, 112), (61, 112))"
"((82, 152), (63, 162), (64, 165))"
"((64, 164), (63, 162), (64, 165))"
"((63, 162), (64, 165))"
"((80, 84), (80, 83), (80, 84))"
"((63, 162), (64, 167))"
"((63, 162), (64, 165), (64, 163))"
"((64, 163), (63, 162), (64, 165))"
"((81, 151), (63, 162), (64, 165))"
"((73, 99), (72, 99), (73, 99))"
"((81, 151), (64, 165), (63, 162))"
"((63, 162), (64, 164))"
"((46, 47), (45, 47), (46, 47))"
"((64, 165), (63, 162), (64, 165))"
"((70, 156), (63, 162), (64, 165))"
"((46, 47), (45, 47))"
"((62, 112), (61, 112))"
"((64, 165), (63, 162), (64, 167))"
"((80, 95), (80, 94), (80, 95))"
"((63, 162), (65, 164))"
"((82, 152), (63, 162), (64, 163))"
"((46, 47), (45, 47))"
"((73, 99), (72, 100), (72, 99))"
"((64, 165), (63, 162), (64, 164))"
"((61, 112), (60, 112))"
"((73, 99), (72, 99))"
"((36, 95), (37, 95), (36, 95))"
"((73, 99), (72, 99), (72, 100))"
"((81, 151), (64, 165))"
"((63, 162), (64, 165), (64, 167))"
"((80, 95), (80, 94))"
"((81, 151), (64, 165), (64, 167))"
"((61, 112), (60, 112), (61, 112))"
"((63, 162), (64, 163))"
"((63, 162), (64, 165), (64, 167))"
"((73, 99), (72, 99))"
"((81, 151), (63, 162), (64, 165))"
"((73, 99), (72, 99), (72, 100))"
"((80, 83), (80, 84))"
"((72, 92), (72, 93))"
"((86, 99), (88, 99))"
"((43, 126), (44, 125))"
"((71, 93), (72, 93))"
"((158, 176), (159, 178))"
"((159, 178), (158, 176))"
"((81, 70), (85, 59))"
"((76, 80), (77, 80))"
"((85, 59), (85, 61))"
"((102, 88), (102, 87))"
"((80, 99), (80, 98))"
"((102, 105), (103, 105))"
"((159, 178), (159, 176))"
"((72, 93), (72, 92))"
"((70, 104), (69, 103))"
"((101, 88), (102, 87))"
"((78, 68), (78, 69))"
"((76, 80), (75, 80))"
"((159, 176), (159, 178))"
"((81, 70), (85, 61))"
"((43, 126), (43, 125))"
"((85, 61), (85, 59))"
"((43, 125), (43, 126))"
"((103, 105), (102, 105))"
"((72, 93), (71, 93))"
"((102, 103), (102, 105))"
"((69, 103), (70, 104))"
"((80, 98), (80, 99))"
"((71, 93), (72, 92))"
"((77, 80), (75, 80))"
"((75, 90), (75, 89))"
"((69, 103), (69, 104))"
"((77, 80), (76, 80))"
"((44, 125), (43, 126))"
"((102, 105), (102, 103))"
"((75, 89), (75, 90))"
"((69, 104), (69, 103))"
"((75, 80), (77, 80))"
"((78, 69), (78, 68))"
"((159, 178), (158, 176))"
"((43, 126), (44, 125))"
"((78, 68), (78, 69))"
"((158, 176), (159, 178))"
"((103, 105), (102, 105))"
"((158, 176), (159, 178), (158, 176))"
"((75, 90), (75, 89))"
"((103, 105), (102, 105))"
"((78, 68), (78, 69), (78, 68))"
"((71, 93), (72, 93), (72, 92))"
"((69, 104), (69, 103))"
"((75, 90), (75, 89), (75, 90))"
"((71, 93), (72, 93))"
"((78, 68), (78, 69))"
"((159, 176), (159, 178))"
"((75, 90), (75, 89))"
"((102, 105), (103, 105), (102, 105))"
"((72, 92), (72, 93), (72, 92))"
"((69, 103), (69, 104))"
"((43, 126), (44, 125), (43, 126))"
"((72, 92), (72, 93))"
"((43, 126), (43, 125))"
"((85, 59), (85, 61), (85, 59))"
"((72, 93), (72, 92))"
"((43, 126), (43, 125), (43, 126))"
"((44, 125), (43, 126))"
"((78, 69), (78, 68))"
"((159, 178), (159, 176), (159, 178))"
"((159, 176), (159, 178))"
"((69, 103), (69, 104), (69, 103))"
"((78, 68), (78, 69))"
"((71, 93), (72, 93), (72, 92))"
"((69, 103), (69, 104), (69, 103))"
"((43, 126), (44, 125), (43, 126))"
"((78, 68), (78, 69), (78, 68))"
"((78, 68), (78, 69), (78, 68))"
"((72, 92), (72, 93), (72, 92))"
"((78, 68), (78, 69), (78, 68))"
"((138, 107), (138, 106))"
"((138, 106), (137, 107))"
"((64, 162), (64, 163))"
"((93, 127), (92, 125))"
"((114, 165), (112, 168))"
"((138, 106), (138, 107))"
"((112, 168), (115, 165))"
"((182, 20), (180, 18))"
"((75, 106), (75, 107))"
"((74, 62), (74, 61))"
"((180, 18), (182, 20))"
"((85, 152), (85, 151))"
"((138, 107), (137, 107))"
"((74, 61), (74, 62))"
"((68, 180), (68, 182))"
"((94, 94), (94, 95))"
"((138, 106), (136, 107))"
"((136, 107), (137, 107))"
"((64, 163), (64, 162))"
"((112, 168), (114, 165))"
"((85, 151), (85, 152))"
"((115, 165), (112, 168))"
"((68, 182), (68, 180))"
"((137, 107), (138, 107))"
"((92, 125), (93, 127))"
"((114, 165), (112, 168), (114, 165))"
"((138, 107), (138, 106))"
"((112, 168), (114, 165))"
"((63, 162), (64, 162))"
"((74, 62), (74, 61))"
"((138, 106), (137, 107), (138, 106))"
"((68, 180), (68, 182), (68, 180))"
"((63, 162), (64, 162), (63, 162))"
"((85, 152), (85, 151), (85, 152))"
"((64, 163), (64, 162))"
"((137, 107), (138, 106))"
"((63, 162), (64, 162))"
"((138, 106), (137, 107))"
"((74, 62), (74, 61))"
"((64, 163), (64, 162))"
"((64, 162), (64, 163), (64, 162))"
"((114, 165), (112, 168))"
"((114, 165), (112, 168), (114, 165))"
"((34, 19), (34, 21))"
"((71, 107), (69, 106))"
"((90, 58), (89, 60))"
"((34, 21), (34, 22))"
"((89, 60), (89, 59))"
"((34, 22), (33, 19))"
"((32, 38), (33, 38))"
"((33, 19), (34, 22))"
"((94, 78), (93, 80))"
"((33, 19), (34, 21))"
"((51, 144), (51, 143))"
"((33, 20), (33, 19))"
"((41, 47), (45, 45))"
"((49, 96), (48, 96))"
"((89, 59), (91, 58))"
"((34, 21), (34, 20))"
"((34, 20), (34, 22))"
"((89, 59), (89, 60))"
"((34, 20), (34, 21))"
"((91, 58), (89, 59))"
"((33, 19), (34, 20))"
"((6, 172), (6, 171))"
"((33, 38), (32, 37))"
"((88, 196), (86, 194))"
"((89, 60), (90, 58))"
"((32, 36), (33, 38))"
"((48, 96), (49, 96))"
"((90, 59), (89, 59))"
"((34, 19), (33, 19))"
"((34, 20), (34, 19))"
"((49, 96), (50, 95))"
"((6, 171), (6, 172))"
"((50, 95), (49, 96))"
"((89, 60), (91, 58))"
"((89, 59), (90, 59))"
"((89, 59), (90, 58))"
"((73, 44), (73, 43))"
"((90, 58), (89, 59))"
"((49, 96), (47, 96))"
"((34, 21), (33, 20))"
"((76, 76), (77, 76))"
"((34, 21), (33, 19))"
"((34, 22), (34, 21))"
"((33, 19), (33, 20))"
"((33, 20), (34, 21))"
"((82, 92), (82, 91))"
"((91, 58), (89, 60))"
"((73, 43), (73, 44))"
"((33, 38), (32, 38))"
"((34, 20), (33, 20))"
"((34, 22), (34, 20))"
"((88, 196), (86, 195))"
"((34, 20), (33, 19))"
"((32, 37), (33, 38))"
"((47, 96), (49, 96))"
"((33, 20), (34, 20))"
"((34, 21), (34, 19))"
"((51, 143), (51, 144))"
"((33, 19), (34, 19))"
"((77, 76), (76, 76))"
"((33, 19), (34, 20), (33, 19))"
"((89, 59), (89, 60))"
"((33, 20), (33, 19))"
"((34, 21), (34, 20))"
"((34, 20), (34, 22), (34, 20))"
"((34, 22), (33, 19), (34, 20))"
"((33, 19), (34, 20))"
"((33, 19), (34, 22), (34, 20))"
"((6, 172), (6, 171), (6, 172))"
"((34, 21), (34, 20), (34, 21))"
"((34, 21), (34, 20), (33, 19))"
"((89, 60), (89, 59))"
"((33, 20), (34, 20))"
"((89, 59), (91, 58), (89, 59))"
"((33, 19), (34, 19))"
"((33, 20), (33, 19), (33, 20))"
"((34, 21), (34, 20))"
"((48, 96), (49, 96))"
"((34, 22), (34, 20))"
"((49, 96), (48, 96), (49, 96))"
"((33, 19), (33, 20), (34, 21))"
"((34, 20), (33, 20))"
"((89, 60), (89, 59), (89, 60))"
"((33, 19), (33, 20))"
"((34, 22), (33, 19), (34, 22))"
"((34, 22), (34, 20), (33, 19))"
"((50, 95), (49, 96))"
"((33, 19), (33, 20), (34, 20))"
"((33, 20), (33, 19), (34, 20))"
"((49, 96), (50, 95), (49, 96))"
"((34, 20), (34, 21), (33, 19))"
"((33, 19), (34, 21), (33, 19))"
"((33, 20), (33, 19))"
"((33, 19), (34, 20), (33, 20))"
"((33, 19), (34, 22))"
"((33, 19), (34, 20))"
"((34, 20), (33, 20), (34, 20))"
"((6, 171), (6, 172))"
"((33, 19), (34, 21), (34, 20))"
"((34, 21), (33, 19))"
"((34, 20), (33, 19))"
"((34, 22), (33, 19))"
"((6, 171), (6, 172))"
"((33, 19), (34, 20), (33, 20), (34, 20))"
"((34, 21), (34, 20))"
"((34, 21), (34, 20), (33, 19))"
"((34, 20), (33, 20), (34, 20))"
"((34, 21), (34, 20), (34, 21), (33, 19))"
"((34, 21), (34, 20), (34, 21))"
"((34, 21), (34, 20), (33, 19))"
"((33, 19), (34, 20), (33, 19))"
"((33, 19), (34, 20), (33, 20))"
"((34, 20), (34, 22), (34, 20), (33, 19))"
"((33, 19), (34, 22), (34, 20), (33, 19))"
"((34, 21), (34, 20), (33, 19))"
"((80, 93), (79, 92))"
"((11, 184), (14, 186))"
"((96, 93), (96, 92))"
"((53, 106), (52, 108))"
"((95, 92), (96, 92))"
"((80, 92), (80, 93))"
"((11, 184), (12, 185))"
"((81, 90), (80, 92))"
"((81, 89), (80, 92))"
"((14, 186), (10, 185))"
"((91, 157), (90, 156))"
"((52, 107), (52, 108))"
"((86, 65), (85, 59))"
"((80, 101), (96, 93))"
"((81, 89), (79, 92))"
"((77, 96), (96, 92))"
"((14, 186), (11, 184))"
"((52, 108), (53, 106))"
"((11, 185), (10, 185))"
"((123, 54), (124, 55))"
"((95, 92), (80, 101))"
"((11, 184), (10, 185))"
"((96, 92), (80, 101))"
"((70, 140), (71, 142))"
"((74, 81), (74, 80))"
"((96, 92), (96, 93))"
"((52, 107), (53, 106))"
"((90, 156), (89, 155))"
"((89, 156), (91, 157))"
"((76, 89), (60, 112))"
"((12, 185), (10, 185))"
"((91, 157), (70, 140))"
"((22, 188), (22, 191))"
"((89, 93), (89, 92))"
"((52, 108), (52, 107))"
"((57, 110), (60, 112))"
"((53, 106), (52, 107))"
"((12, 185), (11, 184))"
"((90, 156), (91, 157))"
"((12, 185), (14, 186))"
"((103, 123), (104, 123))"
"((80, 92), (79, 92))"
"((10, 185), (11, 184))"
"((96, 93), (80, 101))"
"((80, 101), (96, 92))"
"((10, 185), (14, 186))"
"((79, 92), (80, 92))"
"((124, 55), (123, 54))"
"((10, 185), (12, 185))"
"((71, 142), (70, 140))"
"((80, 93), (80, 92))"
"((57, 111), (57, 110))"
"((89, 92), (89, 93))"
"((11, 185), (11, 184))"
"((77, 80), (78, 80))"
"((74, 80), (74, 81))"
"((57, 110), (57, 111))"
"((96, 92), (95, 92))"
"((22, 191), (22, 188))"
"((89, 156), (90, 156))"
"((80, 101), (96, 92))"
"((10, 185), (11, 184))"
"((91, 157), (90, 156), (91, 157))"
"((10, 185), (11, 184))"
"((11, 184), (10, 185), (11, 184))"
"((57, 111), (57, 110), (57, 111))"
"((11, 184), (12, 185))"
"((12, 185), (11, 184))"
"((14, 186), (10, 185), (11, 184))"
"((52, 107), (53, 106), (52, 107))"
"((14, 186), (11, 184), (10, 185))"
"((11, 184), (14, 186), (10, 185))"
"((57, 111), (60, 112))"
"((53, 106), (52, 108), (53, 106))"
"((22, 191), (22, 188))"
"((11, 184), (12, 185), (10, 185))"
"((11, 184), (14, 186), (11, 184))"
"((95, 92), (80, 101), (96, 92))"
"((52, 108), (53, 106), (52, 107))"
"((90, 156), (91, 157))"
"((57, 110), (60, 112))"
"((11, 184), (12, 185), (11, 184))"
"((22, 188), (22, 191), (22, 188))"
"((96, 92), (96, 93), (80, 101))"
"((96, 92), (80, 101), (96, 92))"
"((22, 188), (22, 191))"
"((96, 93), (96, 92), (80, 101))"
"((53, 106), (52, 107))"
"((14, 186), (11, 184))"
"((11, 184), (10, 185), (14, 186))"
"((53, 106), (52, 107))"
"((12, 185), (10, 185), (11, 184))"
"((52, 108), (53, 106))"
"((91, 157), (90, 156))"
"((80, 101), (96, 93))"
"((14, 186), (10, 185))"
"((57, 110), (57, 111))"
"((11, 184), (10, 185), (12, 185))"
"((80, 92), (80, 93), (80, 92))"
"((57, 111), (57, 110))"
"((53, 106), (52, 108), (52, 107))"
"((52, 107), (52, 108), (53, 106))"
"((90, 156), (91, 157))"
"((52, 107), (53, 106), (52, 107))"
"((11, 184), (14, 186), (11, 184))"
"((53, 106), (52, 107))"
"((36, 48), (36, 49))"
"((43, 45), (49, 45))"
"((180, 15), (181, 15))"
"((49, 120), (48, 121))"
"((119, 118), (120, 118))"
"((49, 120), (48, 120))"
"((36, 48), (35, 47))"
"((97, 105), (96, 105))"
"((36, 47), (36, 49))"
"((71, 182), (71, 181))"
"((120, 118), (119, 118))"
"((70, 181), (71, 181))"
"((49, 114), (49, 112))"
"((39, 108), (38, 107))"
"((93, 94), (95, 92))"
"((36, 47), (35, 47))"
"((71, 181), (70, 181))"
"((39, 108), (39, 107))"
"((109, 107), (108, 110))"
"((39, 107), (39, 108))"
"((35, 47), (35, 49))"
"((36, 47), (36, 48))"
"((49, 45), (43, 45))"
"((71, 181), (71, 182))"
"((49, 45), (49, 44))"
"((50, 119), (51, 120))"
"((49, 112), (49, 114))"
"((35, 47), (36, 49))"
"((36, 48), (35, 49))"
"((84, 73), (85, 71))"
"((119, 118), (108, 110))"
"((120, 118), (109, 107))"
"((38, 107), (39, 108))"
"((35, 48), (36, 49))"
"((68, 200), (68, 199))"
"((48, 121), (48, 120))"
"((36, 49), (35, 47))"
"((35, 47), (36, 48))"
"((95, 92), (93, 94))"
"((36, 49), (36, 48))"
"((38, 107), (39, 107))"
"((35, 48), (36, 48))"
"((68, 199), (68, 200))"
"((116, 46), (116, 45))"
"((35, 49), (36, 49))"
"((36, 49), (35, 49))"
"((116, 45), (116, 46))"
"((85, 71), (84, 73))"
"((39, 107), (38, 107))"
"((119, 118), (109, 107))"
"((35, 49), (36, 48))"
"((46, 127), (45, 127))"
"((181, 15), (180, 15))"
"((48, 120), (48, 121))"
"((51, 120), (50, 119))"
"((49, 45), (43, 45))"
"((43, 45), (49, 45), (43, 45))"
"((36, 48), (36, 49))"
"((39, 108), (39, 107))"
"((38, 107), (39, 107))"
"((36, 48), (36, 49), (36, 48))"
"((93, 94), (95, 92), (93, 94))"
"((43, 45), (49, 45))"
"((39, 108), (38, 107))"
"((39, 107), (38, 107))"
"((116, 45), (116, 46))"
"((50, 119), (51, 120))"
"((116, 46), (116, 45))"
"((68, 199), (68, 200))"
"((39, 108), (39, 107), (38, 107))"
"((38, 107), (39, 107), (38, 107))"
"((116, 46), (116, 45), (116, 46))"
"((50, 119), (51, 120), (50, 119))"
"((36, 49), (36, 48))"
"((39, 108), (38, 107), (39, 107))"
"((68, 200), (68, 199), (68, 200))"
"((38, 107), (39, 107), (38, 107))"
"((116, 46), (116, 45), (116, 46))"
"((87, 200), (85, 199))"
"((85, 199), (84, 199))"
"((110, 90), (111, 89))"
"((96, 105), (96, 104))"
"((96, 104), (96, 105))"
"((91, 95), (91, 96))"
"((92, 96), (91, 95))"
"((111, 89), (110, 90))"
"((111, 89), (110, 89))"
"((84, 199), (85, 199))"
"((70, 108), (71, 106))"
"((84, 199), (87, 200))"
"((56, 154), (56, 151))"
"((71, 106), (71, 105))"
"((95, 98), (90, 95))"
"((76, 81), (75, 81))"
"((56, 154), (56, 150))"
"((71, 105), (71, 106))"
"((85, 199), (87, 200))"
"((110, 90), (110, 89))"
"((87, 200), (86, 200))"
"((91, 96), (91, 95))"
"((90, 95), (95, 98))"
"((75, 81), (76, 81))"
"((56, 150), (56, 154))"
"((110, 89), (110, 90))"
"((87, 146), (88, 145))"
"((91, 95), (92, 96))"
"((119, 59), (118, 59))"
"((110, 89), (111, 89))"
"((88, 145), (87, 146))"
"((70, 108), (71, 105))"
"((51, 112), (51, 113))"
"((86, 200), (85, 199))"
"((69, 103), (69, 102))"
"((86, 200), (87, 200))"
"((56, 151), (56, 154))"
"((85, 199), (86, 200))"
"((118, 59), (119, 59))"
"((87, 146), (88, 145), (87, 146))"
"((92, 96), (91, 95), (92, 96))"
"((87, 200), (85, 199))"
"((86, 200), (85, 199))"
"((91, 95), (91, 96), (91, 95))"
"((91, 95), (92, 96))"
"((91, 95), (91, 96))"
"((92, 96), (91, 95))"
"((96, 105), (96, 104))"
"((110, 89), (110, 90))"
"((87, 200), (85, 199), (87, 200))"
"((87, 200), (86, 200), (87, 200))"
"((88, 145), (87, 146))"
"((87, 146), (88, 145))"
"((110, 90), (110, 89), (110, 90))"
"((96, 105), (96, 104), (96, 105))"
"((110, 90), (111, 89))"
"((96, 104), (96, 105))"
"((85, 199), (86, 200))"
"((16, 13), (17, 13))"
"((79, 81), (79, 80))"
"((17, 12), (16, 13))"
"((88, 93), (87, 93))"
"((77, 79), (79, 80))"
"((17, 13), (16, 13))"
"((158, 177), (158, 176))"
"((87, 93), (88, 93))"
"((87, 93), (88, 92))"
"((85, 94), (87, 94))"
"((163, 175), (163, 176))"
"((13, 199), (13, 198))"
"((30, 42), (29, 42))"
"((158, 176), (159, 176))"
"((79, 80), (77, 79))"
"((88, 93), (88, 92))"
"((87, 93), (93, 94))"
"((159, 176), (158, 177))"
"((12, 199), (13, 198))"
"((76, 79), (76, 76))"
"((13, 199), (12, 199))"
"((161, 174), (162, 175))"
"((86, 94), (87, 94))"
"((88, 92), (87, 93))"
"((13, 198), (12, 199))"
"((16, 13), (17, 12))"
"((158, 176), (158, 177))"
"((163, 176), (162, 176))"
"((30, 43), (29, 42))"
"((13, 198), (13, 199))"
"((163, 176), (163, 175))"
"((79, 80), (79, 81))"
"((29, 42), (30, 43))"
"((29, 42), (30, 42))"
"((88, 92), (88, 93))"
"((158, 177), (159, 176))"
"((162, 176), (163, 176))"
"((12, 199), (13, 199))"
"((12, 199), (13, 198), (13, 199))"
"((158, 177), (159, 176))"
"((87, 93), (88, 92), (87, 93))"
"((88, 93), (88, 92), (87, 93))"
"((159, 176), (158, 177), (159, 176))"
"((163, 175), (163, 176), (163, 175))"
"((12, 199), (13, 198), (12, 199))"
"((13, 198), (12, 199), (13, 199))"
